Wavelength,Intensity,,,,,,,,,,,,,,,,,,,,,,,,
  440.6,3.39E+05,,,,,,,,,,,,,,,,,,,,,,,,
  441.5,3.38E+05,,,,,,,,,,,,,,,,,,,,,,,,
  442.5,3.38E+05,,,,,,,,,,,,,,,,,,,,,,,,
  443.4,3.40E+05,,,,,,,,,,,,,,,,,,,,,,,,
  444.3,3.43E+05,,,,,,,,,,,,,,,,,,,,,,,,
  445.3,3.47E+05,,,,,,,,,,,,,,,,,,,,,,,,
  446.2,3.52E+05,,,,,,,,,,,,,,,,,,,,,,,,
  447.2,3.59E+05,,,,,,,,,,,,,,,,,,,,,,,,
  448.1,3.65E+05,,,,,,,,,,,,,,,,,,,,,,,,
  449.1,3.73E+05,,,,,,,,,,,,,,,,,,,,,,,,
  450,3.80E+05,,,,,,,,,,,,,,,,,,,,,,,,
  450.9,3.87E+05,,,,,,,,,,,,,,,,,,,,,,,,
  451.9,3.95E+05,,,,,,,,,,,,,,,,,,,,,,,,
  452.8,4.01E+05,,,,,,,,,,,,,,,,,,,,,,,,
  453.8,4.07E+05,,,,,,,,,,,,,,,,,,,,,,,,
  454.7,4.13E+05,,,,,,,,,,,,,,,,,,,,,,,,
  455.7,4.18E+05,,,,,,,,,,,,,,,,,,,,,,,,
  456.6,4.23E+05,,,,,,,,,,,,,,,,,,,,,,,,
  457.5,4.28E+05,,,,,,,,,,,,,,,,,,,,,,,,
  458.5,4.33E+05,,,,,,,,,,,,,,,,,,,,,,,,
  459.4,4.39E+05,,,,,,,,,,,,,,,,,,,,,,,,
  460.4,4.44E+05,,,,,,,,,,,,,,,,,,,,,,,,
  461.3,4.49E+05,,,,,,,,,,,,,,,,,,,,,,,,
  462.3,4.52E+05,,,,,,,,,,,,,,,,,,,,,,,,
  463.2,4.53E+05,,,,,,,,,,,,,,,,,,,,,,,,
  464.2,4.51E+05,,,,,,,,,,,,,,,,,,,,,,,,
  465.1,4.45E+05,,,,,,,,,,,,,,,,,,,,,,,,
  466,4.35E+05,,,,,,,,,,,,,,,,,,,,,,,,
  467,4.18E+05,,,,,,,,,,,,,,,,,,,,,,,,
  467.9,3.98E+05,,,,,,,,,,,,,,,,,,,,,,,,
  468.9,3.70E+05,,,,,,,,,,,,,,,,,,,,,,,,
  469.8,3.42E+05,,,,,,,,,,,,,,,,,,,,,,,,
  470.8,3.08E+05,,,,,,,,,,,,,,,,,,,,,,,,
  471.7,2.75E+05,,,,,,,,,,,,,,,,,,,,,,,,
  472.6,2.43E+05,,,,,,,,,,,,,,,,,,,,,,,,
  473.6,2.08E+05,,,,,,,,,,,,,,,,,,,,,,,,
  474.5,1.79E+05,,,,,,,,,,,,,,,,,,,,,,,,
  475.5,1.50E+05,,,,,,,,,,,,,,,,,,,,,,,,
  476.4,1.27E+05,,,,,,,,,,,,,,,,,,,,,,,,
  477.4,1.06E+05,,,,,,,,,,,,,,,,,,,,,,,,
  478.3,9.08E+04,,,,,,,,,,,,,,,,,,,,,,,,
  479.2,7.89E+04,,,,,,,,,,,,,,,,,,,,,,,,
  480.2,6.92E+04,,,,,,,,,,,,,,,,,,,,,,,,
  481.1,6.33E+04,,,,,,,,,,,,,,,,,,,,,,,,
  482.1,5.95E+04,,,,,,,,,,,,,,,,,,,,,,,,
  483,5.82E+04,,,,,,,,,,,,,,,,,,,,,,,,
  484,5.86E+04,,,,,,,,,,,,,,,,,,,,,,,,
  484.9,6.02E+04,,,,,,,,,,,,,,,,,,,,,,,,
  485.8,6.29E+04,,,,,,,,,,,,,,,,,,,,,,,,
  486.8,6.67E+04,,,,,,,,,,,,,,,,,,,,,,,,
  487.7,7.08E+04,,,,,,,,,,,,,,,,,,,,,,,,
  488.7,7.58E+04,,,,,,,,,,,,,,,,,,,,,,,,
  489.6,8.06E+04,,,,,,,,,,,,,,,,,,,,,,,,
  490.6,8.61E+04,,,,,,,,,,,,,,,,,,,,,,,,
  491.5,9.11E+04,,,,,,,,,,,,,,,,,,,,,,,,
  492.5,9.68E+04,,,,,,,,,,,,,,,,,,,,,,,,
  493.4,1.02E+05,,,,,,,,,,,,,,,,,,,,,,,,
  494.3,1.07E+05,,,,,,,,,,,,,,,,,,,,,,,,
  495.3,1.12E+05,,,,,,,,,,,,,,,,,,,,,,,,
  496.2,1.16E+05,,,,,,,,,,,,,,,,,,,,,,,,
  497.2,1.21E+05,,,,,,,,,,,,,,,,,,,,,,,,
  498.1,1.24E+05,,,,,,,,,,,,,,,,,,,,,,,,
  499.1,1.27E+05,,,,,,,,,,,,,,,,,,,,,,,,
  500,1.30E+05,,,,,,,,,,,,,,,,,,,,,,,,
  500.9,1.31E+05,,,,,,,,,,,,,,,,,,,,,,,,
  501.9,1.33E+05,,,,,,,,,,,,,,,,,,,,,,,,
  502.8,1.33E+05,,,,,,,,,,,,,,,,,,,,,,,,
  503.8,1.33E+05,,,,,,,,,,,,,,,,,,,,,,,,
  504.7,1.33E+05,,,,,,,,,,,,,,,,,,,,,,,,
  505.7,1.32E+05,,,,,,,,,,,,,,,,,,,,,,,,
  506.6,1.32E+05,,,,,,,,,,,,,,,,,,,,,,,,
  507.5,1.31E+05,,,,,,,,,,,,,,,,,,,,,,,,
  508.5,1.31E+05,,,,,,,,,,,,,,,,,,,,,,,,
  509.4,1.31E+05,,,,,,,,,,,,,,,,,,,,,,,,
  510.4,1.32E+05,,,,,,,,,,,,,,,,,,,,,,,,
  511.3,1.33E+05,,,,,,,,,,,,,,,,,,,,,,,,
  512.3,1.34E+05,,,,,,,,,,,,,,,,,,,,,,,,
  513.2,1.36E+05,,,,,,,,,,,,,,,,,,,,,,,,
  514.2,1.38E+05,,,,,,,,,,,,,,,,,,,,,,,,
  515.1,1.40E+05,,,,,,,,,,,,,,,,,,,,,,,,
  516,1.41E+05,,,,,,,,,,,,,,,,,,,,,,,,
  517,1.42E+05,,,,,,,,,,,,,,,,,,,,,,,,
  517.9,1.43E+05,,,,,,,,,,,,,,,,,,,,,,,,
  518.9,1.42E+05,,,,,,,,,,,,,,,,,,,,,,,,
  519.8,1.41E+05,,,,,,,,,,,,,,,,,,,,,,,,
  520.8,1.38E+05,,,,,,,,,,,,,,,,,,,,,,,,
  521.7,1.35E+05,,,,,,,,,,,,,,,,,,,,,,,,
  522.6,1.30E+05,,,,,,,,,,,,,,,,,,,,,,,,
  523.6,1.24E+05,,,,,,,,,,,,,,,,,,,,,,,,
  524.5,1.18E+05,,,,,,,,,,,,,,,,,,,,,,,,
  525.5,1.11E+05,,,,,,,,,,,,,,,,,,,,,,,,
  526.4,1.04E+05,,,,,,,,,,,,,,,,,,,,,,,,
  527.4,9.67E+04,,,,,,,,,,,,,,,,,,,,,,,,
  528.3,9.00E+04,,,,,,,,,,,,,,,,,,,,,,,,
  529.2,8.37E+04,,,,,,,,,,,,,,,,,,,,,,,,
  530.2,7.72E+04,,,,,,,,,,,,,,,,,,,,,,,,
  531.1,7.20E+04,,,,,,,,,,,,,,,,,,,,,,,,
  532.1,6.70E+04,,,,,,,,,,,,,,,,,,,,,,,,
  533,6.31E+04,,,,,,,,,,,,,,,,,,,,,,,,
  534,5.94E+04,,,,,,,,,,,,,,,,,,,,,,,,
  534.9,5.67E+04,,,,,,,,,,,,,,,,,,,,,,,,
  535.8,5.44E+04,,,,,,,,,,,,,,,,,,,,,,,,
  536.8,5.23E+04,,,,,,,,,,,,,,,,,,,,,,,,
  537.7,5.07E+04,,,,,,,,,,,,,,,,,,,,,,,,
  538.7,4.91E+04,,,,,,,,,,,,,,,,,,,,,,,,
  539.6,4.79E+04,,,,,,,,,,,,,,,,,,,,,,,,
  540.6,4.68E+04,,,,,,,,,,,,,,,,,,,,,,,,
  541.5,4.59E+04,,,,,,,,,,,,,,,,,,,,,,,,
  542.5,4.51E+04,,,,,,,,,,,,,,,,,,,,,,,,
  543.4,4.47E+04,,,,,,,,,,,,,,,,,,,,,,,,
  544.3,4.46E+04,,,,,,,,,,,,,,,,,,,,,,,,
  545.3,4.49E+04,,,,,,,,,,,,,,,,,,,,,,,,
  546.2,4.56E+04,,,,,,,,,,,,,,,,,,,,,,,,
  547.2,4.70E+04,,,,,,,,,,,,,,,,,,,,,,,,
  548.1,4.89E+04,,,,,,,,,,,,,,,,,,,,,,,,
  549.1,5.16E+04,,,,,,,,,,,,,,,,,,,,,,,,
  550,5.45E+04,,,,,,,,,,,,,,,,,,,,,,,,
  550.9,5.79E+04,,,,,,,,,,,,,,,,,,,,,,,,
  551.9,6.21E+04,,,,,,,,,,,,,,,,,,,,,,,,
  552.8,6.60E+04,,,,,,,,,,,,,,,,,,,,,,,,
  553.8,7.04E+04,,,,,,,,,,,,,,,,,,,,,,,,
  554.7,7.42E+04,,,,,,,,,,,,,,,,,,,,,,,,
  555.7,7.79E+04,,,,,,,,,,,,,,,,,,,,,,,,
  556.6,8.06E+04,,,,,,,,,,,,,,,,,,,,,,,,
  557.5,8.26E+04,,,,,,,,,,,,,,,,,,,,,,,,
  558.5,8.38E+04,,,,,,,,,,,,,,,,,,,,,,,,
  559.4,8.39E+04,,,,,,,,,,,,,,,,,,,,,,,,
  560.4,8.28E+04,,,,,,,,,,,,,,,,,,,,,,,,
  561.3,8.08E+04,,,,,,,,,,,,,,,,,,,,,,,,
  562.3,7.75E+04,,,,,,,,,,,,,,,,,,,,,,,,
  563.2,7.37E+04,,,,,,,,,,,,,,,,,,,,,,,,
