Wavelength,Intensity,,,,,,,,,,,,,,,,,,,,,,,,
  441.8,6.23E+05,,,,,,,,,,,,,,,,,,,,,,,,
  442.9,6.80E+05,,,,,,,,,,,,,,,,,,,,,,,,
  443.9,7.29E+05,,,,,,,,,,,,,,,,,,,,,,,,
  444.9,7.74E+05,,,,,,,,,,,,,,,,,,,,,,,,
  445.9,8.10E+05,,,,,,,,,,,,,,,,,,,,,,,,
  446.9,8.35E+05,,,,,,,,,,,,,,,,,,,,,,,,
  448,8.49E+05,,,,,,,,,,,,,,,,,,,,,,,,
  449,8.48E+05,,,,,,,,,,,,,,,,,,,,,,,,
  450,8.35E+05,,,,,,,,,,,,,,,,,,,,,,,,
  451,8.10E+05,,,,,,,,,,,,,,,,,,,,,,,,
  452,7.77E+05,,,,,,,,,,,,,,,,,,,,,,,,
  453.1,7.34E+05,,,,,,,,,,,,,,,,,,,,,,,,
  454.1,6.91E+05,,,,,,,,,,,,,,,,,,,,,,,,
  455.1,6.49E+05,,,,,,,,,,,,,,,,,,,,,,,,
  456.1,6.10E+05,,,,,,,,,,,,,,,,,,,,,,,,
  457.1,5.76E+05,,,,,,,,,,,,,,,,,,,,,,,,
  458.2,5.47E+05,,,,,,,,,,,,,,,,,,,,,,,,
  459.2,5.27E+05,,,,,,,,,,,,,,,,,,,,,,,,
  460.2,5.13E+05,,,,,,,,,,,,,,,,,,,,,,,,
  461.2,5.05E+05,,,,,,,,,,,,,,,,,,,,,,,,
  462.2,5.02E+05,,,,,,,,,,,,,,,,,,,,,,,,
  463.3,5.00E+05,,,,,,,,,,,,,,,,,,,,,,,,
  464.3,4.99E+05,,,,,,,,,,,,,,,,,,,,,,,,
  465.3,4.96E+05,,,,,,,,,,,,,,,,,,,,,,,,
  466.3,4.90E+05,,,,,,,,,,,,,,,,,,,,,,,,
  467.3,4.80E+05,,,,,,,,,,,,,,,,,,,,,,,,
  468.4,4.64E+05,,,,,,,,,,,,,,,,,,,,,,,,
  469.4,4.45E+05,,,,,,,,,,,,,,,,,,,,,,,,
  470.4,4.21E+05,,,,,,,,,,,,,,,,,,,,,,,,
  471.4,3.93E+05,,,,,,,,,,,,,,,,,,,,,,,,
  472.4,3.63E+05,,,,,,,,,,,,,,,,,,,,,,,,
  473.5,3.29E+05,,,,,,,,,,,,,,,,,,,,,,,,
  474.5,2.97E+05,,,,,,,,,,,,,,,,,,,,,,,,
  475.5,2.66E+05,,,,,,,,,,,,,,,,,,,,,,,,
  476.5,2.37E+05,,,,,,,,,,,,,,,,,,,,,,,,
  477.6,2.08E+05,,,,,,,,,,,,,,,,,,,,,,,,
  478.6,1.84E+05,,,,,,,,,,,,,,,,,,,,,,,,
  479.6,1.64E+05,,,,,,,,,,,,,,,,,,,,,,,,
  480.6,1.47E+05,,,,,,,,,,,,,,,,,,,,,,,,
  481.6,1.32E+05,,,,,,,,,,,,,,,,,,,,,,,,
  482.7,1.20E+05,,,,,,,,,,,,,,,,,,,,,,,,
  483.7,1.11E+05,,,,,,,,,,,,,,,,,,,,,,,,
  484.7,1.05E+05,,,,,,,,,,,,,,,,,,,,,,,,
  485.7,1.01E+05,,,,,,,,,,,,,,,,,,,,,,,,
  486.7,9.76E+04,,,,,,,,,,,,,,,,,,,,,,,,
  487.8,9.57E+04,,,,,,,,,,,,,,,,,,,,,,,,
  488.8,9.48E+04,,,,,,,,,,,,,,,,,,,,,,,,
  489.8,9.45E+04,,,,,,,,,,,,,,,,,,,,,,,,
  490.8,9.46E+04,,,,,,,,,,,,,,,,,,,,,,,,
  491.8,9.50E+04,,,,,,,,,,,,,,,,,,,,,,,,
  492.9,9.57E+04,,,,,,,,,,,,,,,,,,,,,,,,
  493.9,9.68E+04,,,,,,,,,,,,,,,,,,,,,,,,
  494.9,9.86E+04,,,,,,,,,,,,,,,,,,,,,,,,
